BHID,X,Y,Z_STRAT_TOP,RCG,ATGc,AAG,STGc,SRG,FEGc,TIGc,PPGc,A1,A2,A3,A4,FR_AAG,FR_SRG,DECLUS_W,ROCK
120,588904.3132,9724852.103,-0.25,86.6833,43.40593237093164,41.9238,1.4156862004869961,0.5342,30.053378820738363,1.3370038516599294,23.787998756183075,1.824698782601432,0.059512622940550014,1.2633840756749983,0.056204974002380496,0.9658541519563303,0.3773435100350877,0.179,1
120,588904.3132,9724852.103,-0.75,86.9469,53.46924967413908,50.9276,1.258071898351293,0.6434,15.592668875555953,1.3631433887545648,28.316866163199116,1.8882474270273684,0.044428359095269376,0.5506495240571622,0.04813892119623462,0.9524652077665422,0.5114175118633343,0.179,1
120,588904.3132,9724852.103,-1.25,84.6644,54.07773682160089,49.6899,1.5383539612614503,0.9888,14.422368066169199,1.2126025153086197,28.748938635659844,1.8810342011904224,0.05350993929749094,0.5016661049281265,0.04217903591767808,0.9188605685168355,0.6427649454545454,0.179,1
120,588904.3132,9724852.103,-1.75,90.3078,57.62107639318131,56.4699,1.7601518034193964,1.0138,8.937747934361907,1.2466695009201274,30.434354368117255,1.8932905786739676,0.057834373028899044,0.29367299290321097,0.040962574262003296,0.980021609014622,0.5759730484782732,0.179,1
120,588904.3132,9724852.103,-2.25,60.0991,55.35502792286784,52.1413,3.8057202734875277,2.8989,10.733743109615824,1.1833594963846812,28.922149197644124,1.9139320368133923,0.13158497480531375,0.37112536265078633,0.040915337525507016,0.9419433420330693,0.7617217745074769,0.179,1
120,588904.3132,9724852.103,-2.75,80.3116,56.88285696416287,53.0906,3.54094246245907,2.4237,8.904508946675032,0.9892890071601645,29.682402619542867,1.9163831746797764,0.11929433435175213,0.2999928631387916,0.03332914184341727,0.9333321642660802,0.684478786564868,0.179,1
120,588904.3132,9724852.103,-3.25,68.9991,56.44990961178412,50.0809,6.268226274856759,5.0153,7.548272547174184,0.9582964693173824,28.775295096867552,1.9617491122768433,0.21783360531163107,0.26231781539560584,0.033302750365945044,0.8871741397712607,0.8001147023229644,0.179,1
121,588904.6232,9724857.483,-0.25,78.4085,45.90562244784848,44.2401,1.8931234589723387,0.7707,25.61803385592209,1.4282561433888477,25.154964093868244,1.8249130579772284,0.07525844409508838,1.018408683086402,0.05677830181188763,0.9637185521285413,0.40710498639025167,0.179,1
121,588904.6232,9724857.483,-0.75,85.7345,55.831294803875956,51.4173,1.9023606921495355,1.1239,11.069890294598771,1.288550718112647,29.90790349126309,1.8667739388749127,0.06360729004977786,0.3701326071830005,0.04308395332655355,0.9209404901071804,0.590792274376775,0.179,1
121,588904.6232,9724857.483,-1.25,56.9474,52.276899592263035,45.9107,6.439231124590756,5.2947,12.699901580733924,1.025970634904694,27.557997067507593,1.8969774713380894,0.2336610715509135,0.4608426929440316,0.03722950664344073,0.8782215540340645,0.8222565547896067,0.179,1
121,588904.6232,9724857.483,-1.75,40.0199,48.606880139759674,43.8651,10.436012790079928,3.6678,14.669791892585614,1.108586345972856,25.178728831601926,1.9304739514392395,0.4144773495070826,0.5826263903431653,0.04402868601458008,0.9024463177614855,0.3514560660069782,0.179,1
121,588904.6232,9724857.483,-2.25,59.6952,55.27180506790478,48.8416,7.092232087482623,4.0884,7.456206921854473,1.1233865641921537,29.056369358565973,1.9022268193878928,0.2440852812669727,0.2566117889624205,0.03866231704068607,0.8836621119935403,0.5764616766018963,0.179,1
121,588904.6232,9724857.483,-2.75,60.9897,54.85468333921525,47.0121,8.91580977894703,8.6107,6.822684397959511,1.0114216047996407,28.39540087907857,1.9318157744211177,0.3139878115091555,0.24027427635249177,0.03561920499403287,0.8570298311501027,0.9657787922228344,0.179,1
122,588904.0232,9724862.493,-0.25,84.8419,49.450839400988954,45.9671,1.983947148453629,0.8865,20.391552614882627,1.544256120527307,26.62940471514748,1.8570013085144206,0.07450212160864075,0.7657532277949644,0.05799063618004555,0.9295514607398296,0.44683649999999997,0.179,1
122,588904.0232,9724862.493,-0.75,89.6691,56.16264281995849,54.7142,1.3929823254165403,0.5823,10.670200307918169,1.57281942482336,30.201355121883438,1.8596067160994343,0.04612317294356129,0.35330203776805713,0.0520777765923397,0.9742098528980947,0.41802396870030367,0.179,1
122,588904.0232,9724862.493,-1.25,85.2693,52.06712378347141,50.3686,1.5463185700202564,0.3906,16.791843884413037,1.3151606407633811,28.27955312133192,1.8411579405120082,0.05467973851587608,0.5937803830339371,0.04650570803296482,0.9673781906883322,0.25259995422216475,0.179,1
122,588904.0232,9724862.493,-1.75,75.3043,56.77480877555876,52.3991,3.365731612414166,1.9526,8.349764321168355,1.3397807319954678,30.16991455886325,1.8818352522937318,0.1115592026569193,0.27675797042373057,0.0444078397829559,0.9229286919687084,0.5801413258258707,0.179,1
122,588904.0232,9724862.493,-2.25,61.1835,54.17791193360292,49.832,4.0529198492656775,1.3679,11.493341294228452,1.397780397904033,28.87804652499892,1.8760933807175155,0.1403460530391894,0.39799580225341724,0.04840287228895534,0.9197844328343809,0.3375097586121376,0.179,1
122,588904.0232,9724862.493,-2.75,61.532,55.54270248596632,49.2523,5.469326383319968,4.952,8.950681635926223,1.110364875701684,28.926924619085803,1.9201039591094173,0.18907389760027726,0.3094238932686477,0.038385168500389845,0.8867465534728763,0.9054131446794471,0.179,1
122,588904.0232,9724862.493,-3.25,59.3889,55.26416404934773,48.5322,6.417485892500756,6.0318,8.697205724271706,1.0859621624759537,28.535182171403857,1.9367026892412817,0.2248973163708046,0.30478886281607454,0.0380569556540009,0.8781857255031223,0.9399007806232258,0.179,1
