Gslib file
27  
BHID  
X  
Y  
Z_STRAT_TOP  
Z_MID  
Z_TOP  
Z_BOT  
LENGTH  
RC1  
AT1  
AA1  
ST1  
SR1  
FE1  
TI1  
PP1  
RC3  
AT3  
AA3  
ST3  
SR3  
FE3  
TI3  
PP3  
LITOM  
LPCP  
NORTH_FLAG  
122 588904.0232 9724862.4930 -3.7500 97.2700 97.5200 97.0200 0.5000 48.8856 55.6000 49.9000 8.8200 8.5000 6.2000 1.1200 28.4000 10.4351 52.8160 45.0020 5.7630 4.5710 13.2670 0.7640 27.5390 50 1 1
123 588904.1932 9724867.4030 -0.2500 100.5400 100.7900 100.2900 0.5000 70.9452 46.6000 45.5000 1.4200 0.7000 24.8000 1.4500 25.2600 14.5720 46.4460 45.1620 1.5650 0.5070 25.9930 1.2220 25.0470 50 1 1
123 588904.1932 9724867.4030 -0.7500 100.0400 100.2900 99.7900 0.5000 59.0529 57.5000 55.4000 2.3400 2.2000 8.1000 1.4200 30.2200 22.6642 56.2580 54.0770 1.8180 1.1000 10.4890 1.2100 29.7560 50 1 1
123 588904.1932 9724867.4030 -1.2500 99.5400 99.7900 99.2900 0.5000 53.1479 56.9000 53.9000 2.9800 2.5000 9.0000 1.2200 29.6800 20.2875 53.8290 51.2730 2.7950 1.4210 13.6600 1.0980 28.4990 50 1 1
123 588904.1932 9724867.4030 -1.7500 99.0400 99.2900 98.7900 0.5000 46.7038 55.8000 49.7000 5.1000 5.1000 8.5000 1.1400 28.9400 19.4112 55.6100 52.5630 3.3720 2.8420 11.8480 0.7350 28.9040 50 1 1
124 588903.9732 9724872.4330 -0.2500 100.4600 100.7100 100.2100 0.5000 76.4301 47.5000 44.5000 2.8600 0.8000 23.0000 1.5200 25.0100 9.6769 47.4730 45.0580 2.4630 0.6000 23.0390 1.4520 24.7760 50 1 1
124 588903.9732 9724872.4330 -0.7500 99.9600 100.2100 99.7100 0.5000 64.6485 55.6000 51.6000 2.8400 2.7000 11.5000 1.6700 28.0300 16.0066 55.2970 51.7690 3.0860 1.2780 11.4970 1.4410 28.1290 50 1 1
124 588903.9732 9724872.4330 -1.2500 99.4600 99.7100 99.2100 0.5000 72.7951 55.5000 52.5000 2.5500 1.4000 10.4000 1.5100 28.6800 15.3283 55.9870 50.5820 1.9010 0.6730 11.0000 1.2400 28.5610 50 1 1
124 588903.9732 9724872.4330 -1.7500 98.9600 99.2100 98.7100 0.5000 65.9029 53.2000 50.4000 3.0800 1.7000 13.2000 1.3200 27.8100 11.2760 53.1000 48.8800 3.3750 1.3710 15.3030 1.1850 27.1950 50 1 1
124 588903.9732 9724872.4330 -2.2500 98.4600 98.7100 98.2100 0.5000 49.1303 54.6000 49.5000 5.2800 3.8000 9.6500 1.2300 27.8800 9.5751 50.6790 45.9450 6.1840 3.7000 14.2340 1.0640 25.8400 50 1 1
124 588903.9732 9724872.4330 -2.7500 97.9600 98.2100 97.7100 0.5000 56.4883 55.8000 46.0000 4.3100 2.0000 9.0600 1.1300 28.4000 16.5362 54.4380 47.6840 3.7960 2.3700 13.2130 0.7630 27.7370 50 1 1
124 588903.9732 9724872.4330 -3.2500 97.4600 97.7100 97.2100 0.5000 54.9844 53.7000 47.5000 6.9600 5.6000 9.5100 1.1300 26.9700 17.8909 53.9560 48.9440 4.6920 4.1710 11.2970 0.6750 27.7270 50 1 1
124 588903.9732 9724872.4330 -3.7500 96.9600 97.2100 96.7100 0.5000 42.0376 52.5000 43.5000 8.7600 8.2000 11.1000 1.0600 25.9700 16.6240 50.5280 42.3780 7.1090 6.6220 15.0420 0.7200 25.5300 50 1 1
125 588904.5932 9724877.5630 -0.2500 99.1000 99.3500 98.8500 0.5000 70.4756 52.1000 49.2000 1.7000 0.7000 17.4000 1.4900 27.1400 18.0847 48.0550 46.1260 1.7760 0.6410 22.6960 1.2730 25.2500 50 1 1
125 588904.5932 9724877.5630 -0.7500 98.6000 98.8500 98.3500 0.5000 53.5740 51.4000 44.4000 3.8800 2.6000 16.1000 1.2800 26.3000 15.8133 47.9980 44.6220 3.3330 1.0100 20.9930 1.0680 25.1840 50 1 1
