BHID,X,Y,Z_STRAT_TOP,Z_MID,Z_TOP,Z_BOT,LENGTH,RCG,ATG,AAG,STG,SRG,FEG,TIG,PPG,LITOM,LPCP,NORTH_FLAG
120,588904.3132,9724852.103,-0.25,100.3,100.55,100.05,0.5,86.68329999999999,43.691531402242425,41.9237659618404,1.4250197373657902,0.5341749056623364,30.251076320352368,1.3457856196060833,23.94453792829761,50,1,1
120,588904.3132,9724852.103,-0.75,99.8,100.05,99.55,0.5,86.9469,53.738235474755285,50.927606923306065,1.2643567993798515,0.6433548522143975,15.671110974629341,1.370043242484781,28.459281278573474,50,1,1
120,588904.3132,9724852.103,-1.25,99.3,99.55,99.05,0.5,84.6644,54.13556031933138,49.689942054747924,1.539965784910777,0.9888192120891426,14.437783743816762,1.2139424598768787,28.779701814458022,50,1,1
120,588904.3132,9724852.103,-1.75,98.8,99.05,98.55,0.5,90.3078,57.331293603653286,56.46985601465211,1.7512577817198516,1.0137895176274918,8.892845269179407,1.2404022188559571,30.28134385955588,50,1,1
120,588904.3132,9724852.103,-2.25,98.3,98.55,98.05,0.5,60.09909999999999,55.151093061293764,52.141311673552515,3.7917279426813386,2.898869374083805,10.694182432016454,1.1790493534844948,28.815571371285095,50,1,1
120,588904.3132,9724852.103,-2.75,97.8,98.05,97.55,0.5,80.3116,56.388990571723134,53.09058806075336,3.510245529910997,2.423705067512041,8.827227501382115,0.9807427681679857,29.42474390499006,50,1,1
120,588904.3132,9724852.103,-3.25,97.3,97.55,97.05,0.5,68.9991,56.020057593504845,50.080896905901675,6.22053741860401,5.015276435489739,7.490751634441609,0.9510189987985351,28.55616819059959,50,1,1
121,588904.6232,9724857.483,-0.25,100.43,100.68,100.18,0.5,78.4085,45.96811731636238,44.24009795366574,1.8956683752399295,0.7706928636563638,25.6529357352838,1.4302384894494855,25.189166600559886,50,1,1
121,588904.6232,9724857.483,-0.75,99.93,100.18,99.68,0.5,85.7345,55.8031220442179,51.41732092448198,1.901407604873184,1.1239298065539542,11.064327036373923,1.287940441712496,29.892754055835166,50,1,1
121,588904.6232,9724857.483,-1.25,99.43,99.68,99.18,0.5,56.9474,52.05421564461239,45.91067230461794,6.411845422266864,5.294735703473732,12.64582502449629,1.021563021314406,27.44061997562663,50,1,1
